TOP.6564bbe4.000db760	START
TOP.6564bbe4.000db760	user_options->spin_damp	0
TOP.6564bbe4.000db760	user_options->status	0
TOP.6564bbe4.000db760	user_options->status_json	0
TOP.6564bbe4.000db760	user_options->status_timer	10
TOP.6564bbe4.000db760	user_options->stdout_flag	0
TOP.6564bbe4.000db760	user_options->usage	0
TOP.6564bbe4.000db760	user_options->username	0
TOP.6564bbe4.000db760	user_options->veracrypt_pim_start	485
TOP.6564bbe4.000db760	user_options->veracrypt_pim_stop	485
TOP.6564bbe4.000db760	user_options->version	0
TOP.6564bbe4.000db760	user_options->workload_profile	2
TOP.6564bbe4.000db760	user_options->brain_client	0
TOP.6564bbe4.000db760	user_options->brain_client_features	2
TOP.6564bbe4.000db760	user_options->brain_server	0
TOP.6564bbe4.000db760	user_options->brain_server_timer	300
TOP.6564bbe4.000db760	user_options->brain_port	6863
TOP.6564bbe4.000db760	user_options->brain_session	0
TOP.6564bbe4.000db760	hashes->hashfile	hash1.txt
TOP.6564bbe4.000db760	hashes->hashlist_mode	5
TOP.6564bbe4.000db760	hashes->hashlist_format	0
TOP.6564bbe4.000db760	hashes->hashes_cnt	0
TOP.6564bbe4.000db760	hashes->digests_cnt	1
TOP.6564bbe4.000db760	hashes->digests_done_pot	0
TOP.6564bbe4.000db760	hashes->digests_done_zero	0
TOP.6564bbe4.000db760	hashes->digests_done	0
TOP.6564bbe4.000db760	hashes->salts_cnt	1
TOP.6564bbe4.000db760	hashes->salts_done	0
TOP.6564bbe4.000db760	proc_start	1701100516
TOP.6564bbe4.000db760	proc_stop	1701100552
TOP.6564bbe4.000db760	STOP
TOP.6564bd9b.00092141	START
TOP.6564bd9b.00092141	folder_config->cwd	C:\Users\Brian\Desktop\hashcat
TOP.6564bd9b.00092141	folder_config->install_dir	.
TOP.6564bd9b.00092141	folder_config->profile_dir	.
TOP.6564bd9b.00092141	folder_config->session_dir	.
TOP.6564bd9b.00092141	folder_config->shared_dir	.
TOP.6564bd9b.00092141	user_options->custom_charset_1	?l?d?s
TOP.6564bd9b.00092141	user_options->encoding_from	utf-8
TOP.6564bd9b.00092141	user_options->encoding_to	utf-8
TOP.6564bd9b.00092141	user_options->backend_devices	1
TOP.6564bd9b.00092141	user_options->rule_buf_l	:
TOP.6564bd9b.00092141	user_options->rule_buf_r	:
TOP.6564bd9b.00092141	user_options->session	hashcat
TOP.6564bd9b.00092141	user_options->separator	:
TOP.6564bd9b.00092141	user_options->limit	0
TOP.6564bd9b.00092141	user_options->skip	0
TOP.6564bd9b.00092141	user_options->attack_mode	3
TOP.6564bd9b.00092141	user_options->benchmark	0
TOP.6564bd9b.00092141	user_options->benchmark_all	0
TOP.6564bd9b.00092141	user_options->bitmap_max	18
TOP.6564bd9b.00092141	user_options->bitmap_min	16
TOP.6564bd9b.00092141	user_options->debug_mode	0
TOP.6564bd9b.00092141	user_options->hash_info	0
TOP.6564bd9b.00092141	user_options->force	0
TOP.6564bd9b.00092141	user_options->hwmon_disable	0
TOP.6564bd9b.00092141	user_options->hwmon_temp_abort	90
TOP.6564bd9b.00092141	user_options->hash_mode	9800
TOP.6564bd9b.00092141	user_options->hex_charset	0
TOP.6564bd9b.00092141	user_options->hex_salt	0
TOP.6564bd9b.00092141	user_options->hex_wordlist	0
TOP.6564bd9b.00092141	user_options->hook_threads	12
TOP.6564bd9b.00092141	user_options->identify	0
TOP.6564bd9b.00092141	user_options->increment	0
TOP.6564bd9b.00092141	user_options->increment_max	256
TOP.6564bd9b.00092141	user_options->increment_min	1
TOP.6564bd9b.00092141	user_options->keep_guessing	1
TOP.6564bd9b.00092141	user_options->kernel_accel	0
TOP.6564bd9b.00092141	user_options->kernel_loops	0
TOP.6564bd9b.00092141	user_options->kernel_threads	0
TOP.6564bd9b.00092141	user_options->keyspace	0
TOP.6564bd9b.00092141	user_options->left	0
TOP.6564bd9b.00092141	user_options->logfile_disable	0
TOP.6564bd9b.00092141	user_options->loopback	0
TOP.6564bd9b.00092141	user_options->machine_readable	0
TOP.6564bd9b.00092141	user_options->markov_classic	0
TOP.6564bd9b.00092141	user_options->markov_disable	0
TOP.6564bd9b.00092141	user_options->markov_inverse	0
TOP.6564bd9b.00092141	user_options->markov_threshold	256
TOP.6564bd9b.00092141	user_options->multiply_accel_disable	0
TOP.6564bd9b.00092141	user_options->backend_info	0
TOP.6564bd9b.00092141	user_options->backend_vector_width	0
TOP.6564bd9b.00092141	user_options->optimized_kernel_enable	0
TOP.6564bd9b.00092141	user_options->outfile_autohex	1
TOP.6564bd9b.00092141	user_options->outfile_check_timer	5
TOP.6564bd9b.00092141	user_options->outfile_format	3
TOP.6564bd9b.00092141	user_options->wordlist_autohex_disable	0
TOP.6564bd9b.00092141	user_options->potfile_disable	0
TOP.6564bd9b.00092141	user_options->progress_only	0
TOP.6564bd9b.00092141	user_options->quiet	0
TOP.6564bd9b.00092141	user_options->remove	0
TOP.6564bd9b.00092141	user_options->remove_timer	60
TOP.6564bd9b.00092141	user_options->restore	0
TOP.6564bd9b.00092141	user_options->restore_disable	0
TOP.6564bd9b.00092141	user_options->restore_timer	1
TOP.6564bd9b.00092141	user_options->rp_files_cnt	0
TOP.6564bd9b.00092141	user_options->rp_gen	0
TOP.6564bd9b.00092141	user_options->rp_gen_func_max	4
TOP.6564bd9b.00092141	user_options->rp_gen_func_min	1
TOP.6564bd9b.00092141	user_options->rp_gen_seed	0
TOP.6564bd9b.00092141	user_options->runtime	0
TOP.6564bd9b.00092141	user_options->scrypt_tmto	0
TOP.6564bd9b.00092141	user_options->segment_size	33554432
TOP.6564bd9b.00092141	user_options->self_test_disable	0
TOP.6564bd9b.00092141	user_options->slow_candidates	0
TOP.6564bd9b.00092141	user_options->show	0
TOP.6564bd9b.00092141	user_options->speed_only	0
TOP.6564bd9b.00092141	user_options->spin_damp	0
TOP.6564bd9b.00092141	user_options->status	0
TOP.6564bd9b.00092141	user_options->status_json	0
TOP.6564bd9b.00092141	user_options->status_timer	10
TOP.6564bd9b.00092141	user_options->stdout_flag	0
TOP.6564bd9b.00092141	user_options->usage	0
TOP.6564bd9b.00092141	user_options->username	0
TOP.6564bd9b.00092141	user_options->veracrypt_pim_start	485
TOP.6564bd9b.00092141	user_options->veracrypt_pim_stop	485
TOP.6564bd9b.00092141	user_options->version	0
TOP.6564bd9b.00092141	user_options->workload_profile	2
TOP.6564bd9b.00092141	user_options->brain_client	0
TOP.6564bd9b.00092141	user_options->brain_client_features	2
TOP.6564bd9b.00092141	user_options->brain_server	0
TOP.6564bd9b.00092141	user_options->brain_server_timer	300
TOP.6564bd9b.00092141	user_options->brain_port	6863
TOP.6564bd9b.00092141	user_options->brain_session	0
TOP.6564bd9b.00092141	hashes->hashfile	hash2.txt
TOP.6564bd9b.00092141	hashes->hashlist_mode	5
TOP.6564bd9b.00092141	hashes->hashlist_format	0
TOP.6564bd9b.00092141	hashes->hashes_cnt	0
TOP.6564bd9b.00092141	hashes->digests_cnt	1
TOP.6564bd9b.00092141	hashes->digests_done_pot	0
TOP.6564bd9b.00092141	hashes->digests_done_zero	0
TOP.6564bd9b.00092141	hashes->digests_done	0
TOP.6564bd9b.00092141	hashes->salts_cnt	1
TOP.6564bd9b.00092141	hashes->salts_done	0
TOP.6564bd9b.00092141	proc_start	1701100955
TOP.6564bd9b.00092141	proc_stop	1701100959
TOP.6564bd9b.00092141	STOP
TOP.6564be8d.0009f468	START
TOP.6564be8d.0009f468	folder_config->cwd	C:\Users\Brian\Desktop\hashcat
TOP.6564be8d.0009f468	folder_config->install_dir	.
TOP.6564be8d.0009f468	folder_config->profile_dir	.
TOP.6564be8d.0009f468	folder_config->session_dir	.
TOP.6564be8d.0009f468	folder_config->shared_dir	.
TOP.6564be8d.0009f468	user_options->custom_charset_1	?l?d?s
TOP.6564be8d.0009f468	user_options->encoding_from	utf-8
TOP.6564be8d.0009f468	user_options->encoding_to	utf-8
TOP.6564be8d.0009f468	user_options->backend_devices	1
TOP.6564be8d.0009f468	user_options->rule_buf_l	:
TOP.6564be8d.0009f468	user_options->rule_buf_r	:
TOP.6564be8d.0009f468	user_options->session	hashcat
TOP.6564be8d.0009f468	user_options->separator	:
TOP.6564be8d.0009f468	user_options->limit	0
TOP.6564be8d.0009f468	user_options->skip	0
TOP.6564be8d.0009f468	user_options->attack_mode	3
TOP.6564be8d.0009f468	user_options->benchmark	0
TOP.6564be8d.0009f468	user_options->benchmark_all	0
TOP.6564be8d.0009f468	user_options->bitmap_max	18
TOP.6564be8d.0009f468	user_options->bitmap_min	16
TOP.6564be8d.0009f468	user_options->debug_mode	0
TOP.6564be8d.0009f468	user_options->hash_info	0
TOP.6564be8d.0009f468	user_options->force	0
TOP.6564be8d.0009f468	user_options->hwmon_disable	0
TOP.6564be8d.0009f468	user_options->hwmon_temp_abort	90
TOP.6564be8d.0009f468	user_options->hash_mode	9800
TOP.6564be8d.0009f468	user_options->hex_charset	0
TOP.6564be8d.0009f468	user_options->hex_salt	0
TOP.6564be8d.0009f468	user_options->hex_wordlist	0
TOP.6564be8d.0009f468	user_options->hook_threads	12
TOP.6564be8d.0009f468	user_options->identify	0
TOP.6564be8d.0009f468	user_options->increment	0
TOP.6564be8d.0009f468	user_options->increment_max	256
TOP.6564be8d.0009f468	user_options->increment_min	1
TOP.6564be8d.0009f468	user_options->keep_guessing	1
TOP.6564be8d.0009f468	user_options->kernel_accel	0
TOP.6564be8d.0009f468	user_options->kernel_loops	0
TOP.6564be8d.0009f468	user_options->kernel_threads	0
TOP.6564be8d.0009f468	user_options->keyspace	0
TOP.6564be8d.0009f468	user_options->left	0
TOP.6564be8d.0009f468	user_options->logfile_disable	0
TOP.6564be8d.0009f468	user_options->loopback	0
TOP.6564be8d.0009f468	user_options->machine_readable	0
TOP.6564be8d.0009f468	user_options->markov_classic	0
TOP.6564be8d.0009f468	user_options->markov_disable	0
TOP.6564be8d.0009f468	user_options->markov_inverse	0
TOP.6564be8d.0009f468	user_options->markov_threshold	256
TOP.6564be8d.0009f468	user_options->multiply_accel_disable	0
TOP.6564be8d.0009f468	user_options->backend_info	0
TOP.6564be8d.0009f468	user_options->backend_vector_width	0
TOP.6564be8d.0009f468	user_options->optimized_kernel_enable	0
TOP.6564be8d.0009f468	user_options->outfile_autohex	1
TOP.6564be8d.0009f468	user_options->outfile_check_timer	5
TOP.6564be8d.0009f468	user_options->outfile_format	3
TOP.6564be8d.0009f468	user_options->wordlist_autohex_disable	0
TOP.6564be8d.0009f468	user_options->potfile_disable	0
TOP.6564be8d.0009f468	user_options->progress_only	0
TOP.6564be8d.0009f468	user_options->quiet	0
TOP.6564be8d.0009f468	user_options->remove	0
TOP.6564be8d.0009f468	user_options->remove_timer	60
TOP.6564be8d.0009f468	user_options->restore	0
TOP.6564be8d.0009f468	user_options->restore_disable	0
TOP.6564be8d.0009f468	user_options->restore_timer	1
TOP.6564be8d.0009f468	user_options->rp_files_cnt	0
TOP.6564be8d.0009f468	user_options->rp_gen	0
TOP.6564be8d.0009f468	user_options->rp_gen_func_max	4
TOP.6564be8d.0009f468	user_options->rp_gen_func_min	1
TOP.6564be8d.0009f468	user_options->rp_gen_seed	0
TOP.6564be8d.0009f468	user_options->runtime	0
TOP.6564be8d.0009f468	user_options->scrypt_tmto	0
TOP.6564be8d.0009f468	user_options->segment_size	33554432
TOP.6564be8d.0009f468	user_options->self_test_disable	0
TOP.6564be8d.0009f468	user_options->slow_candidates	0
TOP.6564be8d.0009f468	user_options->show	0
TOP.6564be8d.0009f468	user_options->speed_only	0
TOP.6564be8d.0009f468	user_options->spin_damp	0
TOP.6564be8d.0009f468	user_options->status	0
TOP.6564be8d.0009f468	user_options->status_json	0
TOP.6564be8d.0009f468	user_options->status_timer	10
TOP.6564be8d.0009f468	user_options->stdout_flag	0
TOP.6564be8d.0009f468	user_options->usage	0
TOP.6564be8d.0009f468	user_options->username	0
TOP.6564be8d.0009f468	user_options->veracrypt_pim_start	485
TOP.6564be8d.0009f468	user_options->veracrypt_pim_stop	485
TOP.6564be8d.0009f468	user_options->version	0
TOP.6564be8d.0009f468	user_options->workload_profile	2
TOP.6564be8d.0009f468	user_options->brain_client	0
TOP.6564be8d.0009f468	user_options->brain_client_features	2
TOP.6564be8d.0009f468	user_options->brain_server	0
TOP.6564be8d.0009f468	user_options->brain_server_timer	300
TOP.6564be8d.0009f468	user_options->brain_port	6863
TOP.6564be8d.0009f468	user_options->brain_session	0
TOP.6564be8d.0009f468	hashes->hashfile	hash1.txt
TOP.6564be8d.0009f468	hashes->hashlist_mode	5
TOP.6564be8d.0009f468	hashes->hashlist_format	0
TOP.6564be8d.0009f468	hashes->hashes_cnt	0
TOP.6564be8d.0009f468	hashes->digests_cnt	1
TOP.6564be8d.0009f468	hashes->digests_done_pot	0
TOP.6564be8d.0009f468	hashes->digests_done_zero	0
TOP.6564be8d.0009f468	hashes->digests_done	0
TOP.6564be8d.0009f468	hashes->salts_cnt	1
TOP.6564be8d.0009f468	hashes->salts_done	0
TOP.6564be8d.0009f468	proc_start	1701101197
TOP.6564be8d.0009f468	proc_stop	1701101201
TOP.6564be8d.0009f468	STOP
TOP.6564bea9.00014745	START
TOP.6564bea9.00014745	folder_config->cwd	C:\Users\Brian\Desktop\hashcat
TOP.6564bea9.00014745	folder_config->install_dir	.
TOP.6564bea9.00014745	folder_config->profile_dir	.
TOP.6564bea9.00014745	folder_config->session_dir	.
TOP.6564bea9.00014745	folder_config->shared_dir	.
TOP.6564bea9.00014745	user_options->custom_charset_1	?l?d?s
TOP.6564bea9.00014745	user_options->encoding_from	utf-8
TOP.6564bea9.00014745	user_options->encoding_to	utf-8
TOP.6564bea9.00014745	user_options->backend_devices	1
TOP.6564bea9.00014745	user_options->rule_buf_l	:
TOP.6564bea9.00014745	user_options->rule_buf_r	:
TOP.6564bea9.00014745	user_options->session	hashcat
TOP.6564bea9.00014745	user_options->separator	:
TOP.6564bea9.00014745	user_options->limit	0
TOP.6564bea9.00014745	user_options->skip	0
TOP.6564bea9.00014745	user_options->attack_mode	3
TOP.6564bea9.00014745	user_options->benchmark	0
TOP.6564bea9.00014745	user_options->benchmark_all	0
TOP.6564bea9.00014745	user_options->bitmap_max	18
TOP.6564bea9.00014745	user_options->bitmap_min	16
TOP.6564bea9.00014745	user_options->debug_mode	0
TOP.6564bea9.00014745	user_options->hash_info	0
TOP.6564bea9.00014745	user_options->force	0
TOP.6564bea9.00014745	user_options->hwmon_disable	0
TOP.6564bea9.00014745	user_options->hwmon_temp_abort	90
TOP.6564bea9.00014745	user_options->hash_mode	9800
TOP.6564bea9.00014745	user_options->hex_charset	0
TOP.6564bea9.00014745	user_options->hex_salt	0
TOP.6564bea9.00014745	user_options->hex_wordlist	0
TOP.6564bea9.00014745	user_options->hook_threads	12
TOP.6564bea9.00014745	user_options->identify	0
TOP.6564bea9.00014745	user_options->increment	0
TOP.6564bea9.00014745	user_options->increment_max	256
TOP.6564bea9.00014745	user_options->increment_min	1
TOP.6564bea9.00014745	user_options->keep_guessing	1
TOP.6564bea9.00014745	user_options->kernel_accel	0
TOP.6564bea9.00014745	user_options->kernel_loops	0
TOP.6564bea9.00014745	user_options->kernel_threads	0
TOP.6564bea9.00014745	user_options->keyspace	0
TOP.6564bea9.00014745	user_options->left	0
TOP.6564bea9.00014745	user_options->logfile_disable	0
TOP.6564bea9.00014745	user_options->loopback	0
TOP.6564bea9.00014745	user_options->machine_readable	0
TOP.6564bea9.00014745	user_options->markov_classic	0
TOP.6564bea9.00014745	user_options->markov_disable	0
TOP.6564bea9.00014745	user_options->markov_inverse	0
TOP.6564bea9.00014745	user_options->markov_threshold	256
TOP.6564bea9.00014745	user_options->multiply_accel_disable	0
TOP.6564bea9.00014745	user_options->backend_info	0
TOP.6564bea9.00014745	user_options->backend_vector_width	0
TOP.6564bea9.00014745	user_options->optimized_kernel_enable	0
TOP.6564bea9.00014745	user_options->outfile_autohex	1
TOP.6564bea9.00014745	user_options->outfile_check_timer	5
TOP.6564bea9.00014745	user_options->outfile_format	3
TOP.6564bea9.00014745	user_options->wordlist_autohex_disable	0
TOP.6564bea9.00014745	user_options->potfile_disable	0
TOP.6564bea9.00014745	user_options->progress_only	0
TOP.6564bea9.00014745	user_options->quiet	0
TOP.6564bea9.00014745	user_options->remove	0
TOP.6564bea9.00014745	user_options->remove_timer	60
TOP.6564bea9.00014745	user_options->restore	0
TOP.6564bea9.00014745	user_options->restore_disable	0
TOP.6564bea9.00014745	user_options->restore_timer	1
TOP.6564bea9.00014745	user_options->rp_files_cnt	0
TOP.6564bea9.00014745	user_options->rp_gen	0
TOP.6564bea9.00014745	user_options->rp_gen_func_max	4
TOP.6564bea9.00014745	user_options->rp_gen_func_min	1
TOP.6564bea9.00014745	user_options->rp_gen_seed	0
TOP.6564bea9.00014745	user_options->runtime	0
TOP.6564bea9.00014745	user_options->scrypt_tmto	0
TOP.6564bea9.00014745	user_options->segment_size	33554432
TOP.6564bea9.00014745	user_options->self_test_disable	1
TOP.6564bea9.00014745	user_options->slow_candidates	0
TOP.6564bea9.00014745	user_options->show	0
TOP.6564bea9.00014745	user_options->speed_only	0
TOP.6564bea9.00014745	user_options->spin_damp	0
TOP.6564bea9.00014745	user_options->status	0
TOP.6564bea9.00014745	user_options->status_json	0
TOP.6564bea9.00014745	user_options->status_timer	10
TOP.6564bea9.00014745	user_options->stdout_flag	0
TOP.6564bea9.00014745	user_options->usage	0
TOP.6564bea9.00014745	user_options->username	0
TOP.6564bea9.00014745	user_options->veracrypt_pim_start	485
TOP.6564bea9.00014745	user_options->veracrypt_pim_stop	485
TOP.6564bea9.00014745	user_options->version	0
TOP.6564bea9.00014745	user_options->workload_profile	2
TOP.6564bea9.00014745	user_options->brain_client	0
TOP.6564bea9.00014745	user_options->brain_client_features	2
TOP.6564bea9.00014745	user_options->brain_server	0
TOP.6564bea9.00014745	user_options->brain_server_timer	300
TOP.6564bea9.00014745	user_options->brain_port	6863
TOP.6564bea9.00014745	user_options->brain_session	0
TOP.6564bea9.00014745	hashes->hashfile	hash1.txt
TOP.6564bea9.00014745	hashes->hashlist_mode	5
TOP.6564bea9.00014745	hashes->hashlist_format	0
TOP.6564bea9.00014745	hashes->hashes_cnt	0
TOP.6564bea9.00014745	hashes->digests_cnt	1
TOP.6564bea9.00014745	hashes->digests_done_pot	0
TOP.6564bea9.00014745	hashes->digests_done_zero	0
TOP.6564bea9.00014745	hashes->digests_done	0
TOP.6564bea9.00014745	hashes->salts_cnt	1
TOP.6564bea9.00014745	hashes->salts_done	0
TOP.6564bea9.00014745	SUB.6564beac.0003ad55	START
TOP.6564bea9.00014745	SUB.6564beac.0003ad55	mask_ctx->mask	?1?1?1?1?1?1?1
TOP.6564bea9.00014745	SUB.6564beac.0003ad55	runtime_start	1701101228
TOP.6564bea9.00014745	SUB.6564beac.0003ad55	runtime_stop	1701101674
TOP.6564bea9.00014745	SUB.6564beac.0003ad55	hashes->digests_done_new	0
TOP.6564bea9.00014745	SUB.6564beac.0003ad55	status-after-work	8
TOP.6564bea9.00014745	SUB.6564beac.0003ad55	STOP
TOP.6564bea9.00014745	proc_start	1701101225
TOP.6564bea9.00014745	proc_stop	1701101675
TOP.6564bea9.00014745	STOP
TOP.6564c0e4.000680c6	START
TOP.6564c0e4.000680c6	folder_config->cwd	C:\Users\Brian\Desktop\hashcat
TOP.6564c0e4.000680c6	folder_config->install_dir	.
TOP.6564c0e4.000680c6	folder_config->profile_dir	.
TOP.6564c0e4.000680c6	folder_config->session_dir	.
TOP.6564c0e4.000680c6	folder_config->shared_dir	.
TOP.6564c0e4.000680c6	user_options->custom_charset_1	?u?l?d?s
TOP.6564c0e4.000680c6	user_options->encoding_from	utf-8
TOP.6564c0e4.000680c6	user_options->encoding_to	utf-8
TOP.6564c0e4.000680c6	user_options->backend_devices	1
TOP.6564c0e4.000680c6	user_options->rule_buf_l	:
TOP.6564c0e4.000680c6	user_options->rule_buf_r	:
TOP.6564c0e4.000680c6	user_options->session	hashcat
TOP.6564c0e4.000680c6	user_options->separator	:
TOP.6564c0e4.000680c6	user_options->limit	0
TOP.6564c0e4.000680c6	user_options->skip	0
TOP.6564c0e4.000680c6	user_options->attack_mode	3
TOP.6564c0e4.000680c6	user_options->benchmark	0
TOP.6564c0e4.000680c6	user_options->benchmark_all	0
TOP.6564c0e4.000680c6	user_options->bitmap_max	18
TOP.6564c0e4.000680c6	user_options->bitmap_min	16
TOP.6564c0e4.000680c6	user_options->debug_mode	0
TOP.6564c0e4.000680c6	user_options->hash_info	0
TOP.6564c0e4.000680c6	user_options->force	0
TOP.6564c0e4.000680c6	user_options->hwmon_disable	0
TOP.6564c0e4.000680c6	user_options->hwmon_temp_abort	90
TOP.6564c0e4.000680c6	user_options->hash_mode	9800
TOP.6564c0e4.000680c6	user_options->hex_charset	0
TOP.6564c0e4.000680c6	user_options->hex_salt	0
TOP.6564c0e4.000680c6	user_options->hex_wordlist	0
TOP.6564c0e4.000680c6	user_options->hook_threads	12
TOP.6564c0e4.000680c6	user_options->identify	0
TOP.6564c0e4.000680c6	user_options->increment	0
TOP.6564c0e4.000680c6	user_options->increment_max	256
TOP.6564c0e4.000680c6	user_options->increment_min	1
TOP.6564c0e4.000680c6	user_options->keep_guessing	1
TOP.6564c0e4.000680c6	user_options->kernel_accel	0
TOP.6564c0e4.000680c6	user_options->kernel_loops	0
TOP.6564c0e4.000680c6	user_options->kernel_threads	0
TOP.6564c0e4.000680c6	user_options->keyspace	0
TOP.6564c0e4.000680c6	user_options->left	0
TOP.6564c0e4.000680c6	user_options->logfile_disable	0
TOP.6564c0e4.000680c6	user_options->loopback	0
TOP.6564c0e4.000680c6	user_options->machine_readable	0
TOP.6564c0e4.000680c6	user_options->markov_classic	0
TOP.6564c0e4.000680c6	user_options->markov_disable	0
TOP.6564c0e4.000680c6	user_options->markov_inverse	0
TOP.6564c0e4.000680c6	user_options->markov_threshold	256
TOP.6564c0e4.000680c6	user_options->multiply_accel_disable	0
TOP.6564c0e4.000680c6	user_options->backend_info	0
TOP.6564c0e4.000680c6	user_options->backend_vector_width	0
TOP.6564c0e4.000680c6	user_options->optimized_kernel_enable	0
TOP.6564c0e4.000680c6	user_options->outfile_autohex	1
TOP.6564c0e4.000680c6	user_options->outfile_check_timer	5
TOP.6564c0e4.000680c6	user_options->outfile_format	3
TOP.6564c0e4.000680c6	user_options->wordlist_autohex_disable	0
TOP.6564c0e4.000680c6	user_options->potfile_disable	0
TOP.6564c0e4.000680c6	user_options->progress_only	0
TOP.6564c0e4.000680c6	user_options->quiet	0
TOP.6564c0e4.000680c6	user_options->remove	0
TOP.6564c0e4.000680c6	user_options->remove_timer	60
TOP.6564c0e4.000680c6	user_options->restore	0
TOP.6564c0e4.000680c6	user_options->restore_disable	0
TOP.6564c0e4.000680c6	user_options->restore_timer	1
TOP.6564c0e4.000680c6	user_options->rp_files_cnt	0
TOP.6564c0e4.000680c6	user_options->rp_gen	0
TOP.6564c0e4.000680c6	user_options->rp_gen_func_max	4
TOP.6564c0e4.000680c6	user_options->rp_gen_func_min	1
TOP.6564c0e4.000680c6	user_options->rp_gen_seed	0
TOP.6564c0e4.000680c6	user_options->runtime	0
TOP.6564c0e4.000680c6	user_options->scrypt_tmto	0
TOP.6564c0e4.000680c6	user_options->segment_size	33554432
TOP.6564c0e4.000680c6	user_options->self_test_disable	1
TOP.6564c0e4.000680c6	user_options->slow_candidates	0
TOP.6564c0e4.000680c6	user_options->show	0
TOP.6564c0e4.000680c6	user_options->speed_only	0
TOP.6564c0e4.000680c6	user_options->spin_damp	0
